titulo,autor,editora,categoria,paginas,vendas
"A sutil arte de ligar o foda-se","Mark Manson","Intrínseca","Autoajuda","224","439.251"
"As aventuras na Netoland com Luccas Neto","Luccas Neto","Pixel","Infantojuvenil","64","377.036"
"O milagre da manhã","Hal Elrod","BestSeller","Autoajuda","196","189.595"
"Seja foda!","Caio Carneiro","Buzz","Negócios","208","165.595"
"Combate espiritual","Padre Reginaldo Manzotti","Petra","Autoajuda","208","148.570"
"Sapiens","Yuval Noah Harari","L&PM","Não ficção","464","141.825"
"O poder da ação","Paulo Vieira","Gente","Negócios","256","141.681"
"O poder do hábito","Charles Duhigg","Objetiva","Autoajuda","408","125.664"
"Felipe Neto - A vida por trás das câmeras","Felipe Neto","Pixel","Infantojuvenil","64","125.408"
"O poder da autorresponsabilidade","Paulo Vieira","Gente","Negócios","160","119.337"
"Textos cruéis demais para serem lidos rapidamente","Igor Pires da Silva / Gabriela Barreira","Globo Alt","Ficção","304","110.232"
"Propósito","Sri Prem Baba","Sextante","Autoajuda","160","108.423"
"Ainda sou eu","Jojo Moyes","Intrínseca","Ficção","400","105.968"
"Me poupe!","Nathalia Arcuri","Sextante","Negócios","176","103.344"
"Origem","Dan Brown","Arqueiro","Ficção","432","100.990"
"O poder do agora","Eckhart Tolle","Sextante","Autoajuda","224","90.800"
"Os segredos da mente milionária","T. Harv Eker","Sextante","Negócios","176","85.273"
"Extraordinário","R. J. Palacio","Intrínseca","Infantojuvenil","320","82.156"
"Outros jeitos de usar a boca","Rupi Kaur","Planeta do Brasil","Ficção","208","76.069"
"Meu diário mágico","Ciranda Cultural","Ciranda Cultural","Infantojuvenil","96","73.174"